agency_id,route_id,route_long_name,route_short_name,route_desc,route_type
DIMTS,93,125EXTDOWN,125EXTDOWN,Swaroop Nagar GT Road to ISBT Anand Vihar Terminal,3
DIMTS,94,125EXTUP,125EXTUP,ISBT Anand Vihar Terminal to Swaroop Nagar GT Road,3
DIMTS,95,126DOWN,126DOWN,Badli Village / Badli school to Old Delhi Railway Station (T),3
DIMTS,96,126UP,126UP,Old Delhi Railway Station (T) to Badli Village / Badli School,3
DIMTS,97,128DOWN,128DOWN,Khera Khurd Community Center to Mori Gate Terminal,3
DIMTS,98,128STLDOWN,128STLDOWN,Khera Khurd Community Center to Rani Khera Depot 1,3
DIMTS,99,128STLUP,128STLUP,Rani Khera Depot 1 to Khera Khurd Community Center,3
DIMTS,100,128UP,128UP,Mori Gate Terminal to Khera Khurd Community Center,3
DIMTS,101,129DOWN,129DOWN,Jhingola Village to Old Delhi Railway Station (T),3
DIMTS,102,129LSTLDOWN,129LSTLDOWN,Jhingola Village to Bawana Sec 1 Depot Bus Stop,3
DIMTS,103,129LSTLUP,129LSTLUP,Bawana Sec 1 Cluster Depot to Jhingola Village,3
DIMTS,104,129STLDOWN,129STLDOWN,Jhingola Village to Rani Khera Depot 1,3
DIMTS,105,129STLUP,129STLUP,Rani Khera Depot 1 to Jhingola Village,3
DIMTS,106,129UP,129UP,Old Delhi Railway Station (T) to Jhingola Village,3
DIMTS,107,130ADOWN,130ADOWN,Ghoga Village to Shahbad Dairy,3
DIMTS,108,130AUP,130AUP,Shahbad Dairy to Ghoga Village,3
DIMTS,111,131ADOWN2,131ADOWN2,Lampur Border (T) to Singhu Border GT Road,3
DIMTS,112,131AUP2,131AUP2,Singhu Border GT Road to Lampur Border (T),3
DIMTS,113,131DOWN,131DOWN,Lampur Border (T) to Old Delhi Railway Station (T),3
DIMTS,116,131UP,131UP,Old Delhi Railway Station to Lampur Border (T),3
DIMTS,117,133DOWN,133DOWN,Sec A9 Narela / Narela Pocket 13 / A9 to Mori Gate Terminal,3
DIMTS,3117,133STLDOWN,133STLDOWN,Sec A9 Narela / Narela Pocket 13 / A9 to Bawana Sec 1 Depot Bus Stop,3
DIMTS,3118,133STLUP,133STLUP,Bawana Sec 1 Cluster Depot to Sec A9 Narela / Narela Pocket 13 / A9,3
DIMTS,118,133UP,133UP,Mori Gate Terminal to Sec A9 Narela / Narela Pocket 13 / A9,3
DIMTS,119,135DOWN,135DOWN,Sec A9 Narela / Narela Pocket 13 / A9 to Delhi Sachivalaya (Rajghat Power House),3
DIMTS,120,135UP,135UP,Delhi Sachivalaya (Rajghat Power House) to Sec A9 Narela / Narela Pocket 13 / A9,3
DIMTS,121,136ADOWN,136ADOWN,Ghoga Village to Singhu Border Ramdev Marg,3
DIMTS,122,136AUP,136AUP,Singhu Border Ramdev Marg to Ghoga Village,3
DIMTS,123,136DOWN,136DOWN,Ghoga Village to Old Delhi Railway Station (T),3
DIMTS,124,136LNKSTLDOWN,136LNKSTLDOWN,Ghoga Village to Bawana Sec 1 Depot Bus Stop,3
DIMTS,126,136LNKSTLUP,136LNKSTLUP,Bawana Sec 1 Cluster Depot to Ghoga Village,3
DIMTS,128,136LSTLDOWN,136LSTLDOWN,Ghoga Village to Bawana Sec 1 Depot Bus Stop,3
DIMTS,129,136LSTLUP,136LSTLUP,Bawana Sec 1 Cluster Depot to Ghoga Village,3
DIMTS,130,136UP,136UP,Old Delhi Railway Station to Ghoga Village,3
DIMTS,131,137ADOWN,137ADOWN,Holambi Kalan Terminal to Jahangirpuri Metro Station GT Road,3
DIMTS,132,137AUP,137AUP,Jahangir Puri Crossing / Jahangirpuri GT Road to Holambi Kalan Terminal,3
DIMTS,133,137DOWN,137DOWN,Holambi Kalan Terminal to Old Delhi Railway Station (T),3
DIMTS,134,137STLDOWN,137STLDOWN,Bawana Sec 1 Cluster Depot to Holambi Kalan Terminal,3
DIMTS,135,137STLUP,137STLUP,Holambi Kalan Terminal to Bawana Sec 1 Depot Bus Stop,3
DIMTS,136,137UP,137UP,Old Delhi Railway Station to Holambi Kalan Terminal,3
DIMTS,137,139DOWN,139DOWN,Bhalswa JJ Colony to Shivaji Stadium Terminal,3
DIMTS,138,139STLDOWN,139STLDOWN,Bhalswa JJ Colony to Rani Khera Depot 1,3
